"State","CIP","Education level","Population size","ACS n-size","Coverage level","Median"
"NC","20","Bachelor's degree",785,36,"100.0%",42184.24
"NC","54","Bachelor's degree",3321,135,"100.0%",37570.715
"NC","15","Bachelor's degree",436,26,"100.0%",35655.51
"NC","59","Bachelor's degree",1014,34,"100.0%",63747.73
"NC","51","Bachelor's degree",35,1,"100.0%",70710.15
"NC","29","Bachelor's degree",2241,112,"100.0%",38644.164
"NC","14","Bachelor's degree",826,44,"100.0%",51572.6
"NC","32","Bachelor's degree",126,7,"100.0%",40405.8
"NC","22","Bachelor's degree",949,27,"100.0%",37570.715
"NC","57","Bachelor's degree",67,1,"100.0%",40791.062
"NC","35","Bachelor's degree",28,2,"100.0%",30304.35
"NC","All","Bachelor's degree",251183,11489,"100.0%",43320.984
"MO","52","Bachelor's degree",6173,274,"100.0%",34575.04
"MO","19","Bachelor's degree",9474,397,"100.0%",46415.34
"MO","24","Bachelor's degree",8428,386,"100.0%",70710.15
"MO","61","Bachelor's degree",12093,562,"100.0%",48305.205
"MO","41","Bachelor's degree",2875,117,"100.0%",40254.3375
"MO","33","Bachelor's degree",3170,138,"100.0%",35856.604
"MO","56","Bachelor's degree",1238,51,"100.0%",62667.26
"MO","62","Bachelor's degree",37081,1607,"100.0%",51517.395
"MO","21","Bachelor's degree",5566,233,"100.0%",67627.287
"MO","53","Bachelor's degree",5821,243,"100.0%",41057.86
"MO","55","Bachelor's degree",6491,269,"100.0%",42138.33
"MO","36","Bachelor's degree",5403,241,"100.0%",43871.6096
"MO","23","Bachelor's degree",13260,638,"100.0%",36911.21
"MO","40","Bachelor's degree",899,45,"100.0%",36735.98
"MO","37","Bachelor's degree",905,44,"100.0%",48305.205
"MO","13","Bachelor's degree",966,45,"100.0%",37816.45
"MO","25","Bachelor's degree",1511,68,"100.0%",52943.03
"MO","60","Bachelor's degree",7936,381,"100.0%",36100.82
"MO","48","Bachelor's degree",683,32,"100.0%",37816.45
"MO","50","Bachelor's degree",3098,111,"100.0%",43218.8
"MO","34","Bachelor's degree",1913,94,"100.0%",36911.21
"MO","49","Bachelor's degree",1231,56,"100.0%",32414.1
"MO","26","Bachelor's degree",755,38,"100.0%",31638.18
"MO","11","Bachelor's degree",3184,207,"100.0%",42500.6218
"MO","64","Bachelor's degree",1903,81,"100.0%",34457.7129
"MO","20","Bachelor's degree",865,35,"100.0%",48486.96
"MO","54","Bachelor's degree",1312,62,"100.0%",33278.476
"MO","15","Bachelor's degree",188,10,"100.0%",34553.642
"MO","59","Bachelor's degree",277,16,"100.0%",64828.2
"MO","51","Bachelor's degree",188,11,"100.0%",54547.83
"MO","29","Bachelor's degree",1417,62,"100.0%",30304.35
"MO","14","Bachelor's degree",756,31,"100.0%",61586.79
"MO","32","Bachelor's degree",227,10,"100.0%",40405.8
"MO","22","Bachelor's degree",98,5,"100.0%",28789.1325
"MO","57","Bachelor's degree",63,3,"100.0%",82831.89
"MO","All","Bachelor's degree",147448,6603,"100.0%",43436.235
"TX","52","Bachelor's degree",26627,1151,"100.0%",42426.09
"TX","19","Bachelor's degree",44908,1993,"100.0%",48621.15
"TX","24","Bachelor's degree",70219,2999,"100.0%",75931.632
"TX","61","Bachelor's degree",48507,2056,"100.0%",54023.5
"TX","41","Bachelor's degree",19971,869,"100.0%",46028.022
"TX","33","Bachelor's degree",14265,681,"100.0%",42184.24
"TX","56","Bachelor's degree",2484,107,"100.0%",80508.675
"TX","62","Bachelor's degree",163383,7170,"100.0%",54839.512
"TX","21","Bachelor's degree",27994,1243,"100.0%",64406.94
"TX","53","Bachelor's degree",23248,892,"100.0%",45456.525
"TX","55","Bachelor's degree",38227,1741,"100.0%",50507.25
"TX","36","Bachelor's degree",24356,1087,"100.0%",48486.96
"TX","23","Bachelor's degree",56348,2377,"100.0%",46508.1246
"TX","40","Bachelor's degree",11921,596,"100.0%",47034.2112
"TX","37","Bachelor's degree",7675,340,"100.0%",55698.408
"TX","13","Bachelor's degree",3401,183,"100.0%",48621.15
"TX","25","Bachelor's degree",8360,372,"100.0%",64828.2
"TX","60","Bachelor's degree",30189,1424,"100.0%",42184.24
"TX","48","Bachelor's degree",2642,137,"100.0%",45383.888
"TX","50","Bachelor's degree",17438,625,"100.0%",51525.552
"TX","34","Bachelor's degree",9707,379,"100.0%",42184.24
"TX","49","Bachelor's degree",2452,120,"100.0%",42937.96
"TX","26","Bachelor's degree",5078,230,"100.0%",46415.34
"TX","11","Bachelor's degree",11591,590,"100.0%",52730.3
"TX","64","Bachelor's degree",11016,532,"100.0%",45456.525
"TX","20","Bachelor's degree",1430,66,"100.0%",41258.08
"TX","54","Bachelor's degree",5860,230,"100.0%",39020.422
"TX","15","Bachelor's degree",1367,73,"100.0%",47476.815
"TX","59","Bachelor's degree",3078,143,"100.0%",64406.94
"TX","51","Bachelor's degree",174,11,"100.0%",65936.29
"TX","29","Bachelor's degree",6835,303,"100.0%",42937.96
"TX","14","Bachelor's degree",4630,212,"100.0%",51572.6
"TX","32","Bachelor's degree",693,26,"100.0%",40405.8
"TX","38","Bachelor's degree",114,3,"100.0%",42138.33
"TX","22","Bachelor's degree",1582,34,"100.0%",38385.51
